City,Latitude,Longtitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Time of Data,Country Code
Fortuna,40.6,-124.16,70.0,76,28,1.99,1596059231,US
Libertador General San Martín,-23.81,-64.79,61.0,39,0,3.74,1596059149,AR
Port Hedland,-20.32,118.57,53.6,46,0,5.82,1596059231,AU
Bilma,18.69,12.92,95.67,16,86,4.09,1596059232,NE
Linxia Chengguanzhen,35.6,103.21,63.68,73,74,2.66,1596059232,CN
Praia,14.92,-23.51,80.6,78,40,11.41,1596059232,CV
Banda Aceh,5.56,95.32,80.22,75,100,3.87,1596059232,ID
Darhan,49.49,105.92,60.44,87,85,3.15,1596059232,MN
San Francisco,37.77,-122.42,71.01,56,20,21.92,1596058955,US
Elko,41.0,-115.5,95.0,11,1,8.39,1596059233,US
Safranbolu,41.25,32.69,62.26,76,0,0.67,1596059233,TR
